Item,Category,ProductName,Segment,Price,LaunchDate
Product103,Beauty,Beauty_271,Premium,368.68,2022-11-10
Product103,Clothing,Clothing_215,Budget,38.46,2020-03-28
Product117,Beauty,Beauty_662,Budget,37.64,2020-12-09
Product158,Clothing,Clothing_161,Premium,159.08,2020-01-22
Product089,Electronics,Electronics_59,Budget,205.93,2024-02-08
Product188,Home,Home_244,Budget,300.28,2023-02-28
Product051,Sports,Sports_167,Premium,16.5,2021-08-23
Product060,Clothing,Clothing_777,Standard,17.82,2022-06-16
Product084,Beauty,Beauty_956,Budget,69.8,2021-05-23
Product008,Home,Home_81,Standard,136.8,2023-11-12
Product002,Clothing,Clothing_477,Standard,485.1,2021-12-30
Product044,Clothing,Clothing_958,Standard,464.06,2022-03-26
Product015,Beauty,Beauty_702,Premium,169.41,2021-12-20
Product082,Sports,Sports_217,Standard,147.66,2021-01-14
Product041,Sports,Sports_813,Budget,46.53,2021-06-04
Product088,Electronics,Electronics_139,Budget,107.43,2021-01-26
Product163,Home,Home_379,Premium,46.28,2020-08-18
Product041,Beauty,Beauty_201,Budget,315.42,2022-07-18
Product033,Sports,Sports_684,Budget,322.4,2022-08-18
Product101,Home,Home_5,Premium,285.03,2022-02-05
Product142,Home,Home_207,Premium,219.5,2022-06-10
Product179,Electronics,Electronics_96,Premium,350.8,2021-04-29
Product151,Sports,Sports_171,Budget,109.5,2021-06-08
Product160,Home,Home_86,Budget,441.43,2021-11-12
Product045,Electronics,Electronics_646,Premium,233.7,2023-09-25
Product030,Home,Home_348,Standard,184.59,2020-07-08
Product129,Electronics,Electronics_958,Budget,10.25,2022-08-30
Product003,Home,Home_318,Premium,118.83,2023-06-11
Product172,Home,Home_672,Standard,264.21,2023-06-10
Product180,Electronics,Electronics_497,Standard,134.42,2023-07-15
Product039,Clothing,Clothing_113,Budget,82.56,2022-08-09
Product081,Home,Home_2,Premium,256.31,2022-05-04
Product129,Home,Home_130,Standard,270.16,2021-12-30
Product160,Beauty,Beauty_203,Budget,191.13,2021-02-04
Product038,Sports,Sports_198,Standard,205.42,2022-01-21
Product144,Electronics,Electronics_124,Premium,259.02,2021-04-08
Product093,Home,Home_932,Budget,18.13,2020-05-26
Product148,Beauty,Beauty_929,Premium,204.81,2021-07-04
Product082,Electronics,Electronics_988,Budget,370.26,2020-05-30
Product159,Clothing,Clothing_263,Budget,333.39,2020-12-11
Product112,Electronics,Electronics_2,Premium,498.16,2020-09-10
Product140,Sports,Sports_160,Premium,320.22,2020-01-09
Product099,Home,Home_404,Budget,444.67,2023-02-17
Product161,Beauty,Beauty_625,Budget,89.2,2023-12-16
Product104,Beauty,Beauty_227,Standard,192.42,2024-02-05
Product099,Electronics,Electronics_914,Premium,88.8,2020-12-03
Product194,Home,Home_681,Premium,96.2,2022-03-11
Product142,Sports,Sports_195,Budget,332.23,2022-11-22
Product176,Beauty,Beauty_883,Budget,321.8,2022-11-11
Product158,Sports,Sports_438,Budget,453.99,2020-01-27
Product021,Electronics,Electronics_960,Budget,433.44,2022-10-16
Product061,Home,Home_192,Budget,326.28,2020-01-17
Product172,Beauty,Beauty_477,Standard,146.98,2021-06-01
Product099,Beauty,Beauty_37,Premium,464.88,2021-05-11
Product046,Sports,Sports_99,Budget,490.36,2023-02-13
Product191,Sports,Sports_928,Premium,427.06,2023-07-03
Product067,Clothing,Clothing_735,Premium,423.66,2023-09-08
Product104,Clothing,Clothing_854,Budget,185.74,2020-06-03
Product130,Clothing,Clothing_104,Premium,351.54,2020-09-02
Product176,Sports,Sports_759,Standard,215.69,2022-07-09
Product152,Sports,Sports_903,Standard,255.74,2021-11-15
Product020,Electronics,Electronics_400,Standard,34.88,2021-04-15
Product143,Beauty,Beauty_834,Standard,224.85,2022-05-03
