SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerID,Item,Quantity,UnitPrice,TaxAmount
SO20000,2,24-08-2024,CUST2373,Running Shorts,4,278.63,55.73
SO20001,2,06-10-2024,CUST2779,Vacuum Cleaner,4,111.58,22.32
SO20002,2,02-08-2024,,Tennis Racket,6,152.03,45.61
SO20003,3,21-09-2024,CUST1815,Children's Book,3,0,0.99
SO20004,2,18-03-2025,CUST2913,Doll,7,31.13,10.9
SO20005,3,30-12-2024,CUST1241,Vitamin Supplements,2,247.52,24.75
SO20006,2,17-09-2024,CUST2392,,0,307.9,138.56
SO20007,1,05-08-2024,CUST2277,Remote Car,7,6.8,2.38
,3,04-07-2024,CUST1977,Coffee Maker,2,493.13,49.31
SO20009,4,30-03-2025,CUST1598,,4,98.41,19.68
SO20010,1,08-10-2024,CUST1783,First Aid Kit,3,102.73,15.41
SO20011,3,29-09-2024,CUST2199,Running Shoes,9,37.97,17.09
SO20012,1,05-03-2025,CUST1976,Hand Sanitizer,5,67.13,16.78
SO20013,3,05-11-2024,CUST2508,Blood Pressure Monitor,4,172.01,34.4
SO20014,2,12-08-2024,CUST2431,Jacket,0,178.65,62.53
SO20015,2,05-03-2025,CUST1169,Blood Pressure Monitor,5,172.01,43
SO20016,2,18-11-2024,,Nail Polish,6,101.32,30.4
SO20017,2,16-06-2024,CUST1983,Blood Pressure Monitor,1,172.01,8.6
SO20018,4,06-11-2024,CUST1558,Doll,1,31.13,1.56
SO20019,3,25-05-2025,CUST1370,Cookbook,9,42.12,18.95
SO20020,2,01-08-2024,CUST2979,Bluetooth Speaker,5,781.62,195.4
SO20021,2,19-09-2024,CUST2249,,9,137.73,61.98
SO20022,3,17-04-2025,CUST2016,Cookbook,8,42.12,16.85
SO20023,4,19-02-2025,CUST2640,Children's Book,3,0,0.99
SO20024,4,20-02-2025,CUST2422,Pruning Shears,7,307.9,107.76
SO20025,1,19-11-2024,CUST2782,Car Cover,8,380.21,152.08
SO20026,2,17-12-2024,CUST2450,Moisturizer,0,145.13,65.31
SO20027,4,17-09-2024,CUST1330,Smartphone,8,893.23,357.29
SO20028,1,19-03-2025,CUST1100,,2,67.13,6.71
SO20029,1,27-08-2024,CUST2020,Yoga Mat,5,127.99,32
SO20030,2,14-05-2025,,Running Shoes,6,37.97,11.39
SO20031,1,15-07-2024,CUST2274,Doll,1,31.13,1.56
SO20032,1,12-01-2025,CUST1174,Foundation,9,135.88,61.15
SO20033,1,04-03-2025,CUST2464,Perfume,8,48.96,19.58
SO20034,2,07-09-2024,CUST1295,Foundation,4,135.88,27.18
SO20035,3,14-05-2025,CUST1541,Puzzle,6,0,16.15
,3,13-01-2025,CUST1371,Air Purifier,7,471.37,164.98
SO20037,2,09-09-2024,CUST1074,Cookbook,4,42.12,8.42
SO20038,1,03-10-2024,CUST2583,Lawn Mower,7,312.5,109.38
SO20039,3,03-05-2025,,Vitamin Supplements,0,247.52,99.01
SO20040,4,30-05-2024,CUST2058,Sunglasses,6,101.72,30.52
SO20041,4,05-05-2025,CUST1719,Action Figure,2,0,6.06
SO20042,4,22-12-2024,CUST1216,,4,111.58,22.32
SO20043,1,18-01-2025,CUST1004,First Aid Kit,5,102.73,25.68
SO20044,1,04-03-2025,CUST2784,GPS Navigator,1,379.55,18.98
SO20045,1,12-11-2024,CUST2394,Car Cover,2,380.21,38.02
SO20046,2,20-05-2025,CUST1487,Blender,4,265.85,53.17
SO20047,3,10-10-2024,CUST1920,Jacket,7,178.65,62.53
SO20048,2,11-05-2025,CUST1272,Thermometer,5,245.46,61.36
,4,11-03-2025,CUST1348,Running Shoes,2,37.97,3.8
SO20050,1,07-06-2024,CUST1413,Bluetooth Speaker,8,781.62,312.65
SO20051,1,02-07-2024,CUST2868,Doll,1,31.13,1.56
SO20052,4,20-04-2025,CUST1521,Action Figure,7,60.65,21.23
SO20053,4,01-04-2025,CUST2744,Lawn Mower,9,0,140.62
SO20054,4,12-06-2024,CUST2954,Blender,4,265.85,53.17
SO20055,1,16-03-2025,,Hand Sanitizer,3,67.13,10.07
SO20056,1,09-03-2025,CUST1395,Lipstick,8,132.35,52.94
SO20057,4,07-12-2024,CUST1522,Air Purifier,9,471.37,212.12
SO20058,4,17-06-2024,CUST2722,Nail Polish,5,101.32,25.33
SO20059,1,22-04-2025,CUST1506,Nail Polish,1,101.32,5.07
SO20060,3,03-02-2025,CUST1995,Microwave,9,306.02,137.71
SO20061,1,31-08-2024,CUST2664,Building Blocks,9,0,26.38
SO20062,2,08-09-2024,CUST1258,Car Cover,5,380.21,95.05
SO20063,3,01-11-2024,CUST2802,Moisturizer,7,145.13,50.8
SO20064,1,23-12-2024,CUST2368,Smartwatch,4,1166.83,233.37
SO20065,4,24-12-2024,CUST2036,Basketball,1,252.86,12.64
SO20066,4,30-11-2024,CUST1490,Mystery Novel,5,54.28,13.57
SO20067,3,01-12-2024,,First Aid Kit,6,102.73,30.82
SO20068,3,14-08-2024,CUST1555,Basketball,9,252.86,113.79
SO20069,1,14-06-2024,CUST2929,Mystery Novel,6,54.28,16.28
SO20070,2,05-12-2024,CUST2559,GPS Navigator,9,379.55,170.8
SO20071,3,25-05-2025,CUST1029,Jeans,6,102.22,30.67
SO20072,4,18-12-2024,CUST2517,Laptop,6,1357.95,407.39
SO20073,1,14-06-2024,CUST2666,Cookbook,8,42.12,16.85
SO20074,4,08-10-2024,CUST2913,Puzzle,3,53.84,8.08
SO20075,1,28-09-2024,CUST1284,Air Purifier,4,471.37,94.27
SO20076,1,25-11-2024,CUST2647,GPS Navigator,3,379.55,56.93
SO20077,1,15-09-2024,CUST2826,Action Figure,8,60.65,24.26
SO20078,4,28-01-2025,CUST2558,Moisturizer,9,145.13,65.31
SO20079,4,25-04-2025,CUST1682,Smartphone,8,893.23,357.29
SO20080,4,15-05-2025,CUST2421,Nail Polish,9,101.32,45.59
SO20081,4,11-12-2024,CUST1873,Sunglasses,7,101.72,35.6
SO20082,4,08-12-2024,CUST2139,GPS Navigator,8,379.55,151.82
SO20083,2,02-07-2024,CUST1114,Cookbook,4,42.12,8.42
SO20084,4,10-07-2024,CUST2369,GPS Navigator,8,379.55,151.82
SO20085,4,30-03-2025,CUST1202,Foundation,7,135.88,47.56
SO20086,3,05-08-2024,CUST1570,Blender,1,265.85,13.29
SO20087,2,06-02-2025,CUST1425,Doll,8,31.13,12.45
SO20088,1,22-06-2024,CUST1003,Garden Hose,4,137.73,27.55
SO20089,1,24-09-2024,CUST2813,Vacuum Cleaner,6,111.58,33.47
SO20090,3,27-09-2024,CUST2647,Vacuum Cleaner,5,111.58,27.9
SO20091,2,22-02-2025,CUST2219,Air Purifier,1,471.37,23.57
SO20092,3,10-08-2024,CUST1399,Smartwatch,3,1166.83,175.02
SO20093,4,24-12-2024,CUST2167,Jacket,1,178.65,8.93
SO20094,3,03-01-2025,CUST1117,Children's Book,2,6.62,0.66
SO20095,1,20-11-2024,CUST1785,Building Blocks,2,58.63,5.86
SO20096,2,10-11-2024,CUST2034,Cookbook,4,42.12,8.42
SO20097,1,14-11-2024,CUST2149,Tennis Racket,2,152.03,15.2
SO20098,3,05-11-2024,CUST1318,Garden Hose,8,137.73,55.09
SO20099,3,05-05-2025,CUST1008,Pruning Shears,2,307.9,30.79
SO20100,1,09-11-2024,CUST1182,Dash Cam,3,330.24,49.54
SO20101,4,19-11-2024,CUST2199,Running Shoes,8,37.97,15.19
SO20102,4,06-10-2024,CUST1023,Dash Cam,9,330.24,148.61
SO20103,3,04-05-2025,CUST2942,Jeans,8,102.22,40.89
SO20104,1,18-08-2024,CUST2642,Tire Inflator,4,127.25,25.45
SO20105,1,10-09-2024,CUST1245,Wireless Earbuds,7,1043.5,365.22
SO20106,3,23-07-2024,CUST2832,T-Shirt,7,74.96,26.24
SO20107,2,12-01-2025,CUST2595,Science Textbook,8,16.92,6.77
SO20108,4,30-09-2024,CUST2454,Children's Book,2,6.62,0.66
SO20109,2,22-06-2024,CUST1923,Coffee Maker,0,493.13,73.97
SO20110,4,26-10-2024,CUST2042,Puzzle,1,53.84,2.69
SO20111,4,24-08-2024,CUST1762,Running Shoes,9,37.97,17.09
SO20112,2,06-06-2024,CUST1613,Building Blocks,4,58.63,11.73
SO20113,1,14-10-2024,CUST1636,Building Blocks,1,58.63,2.93
SO20114,4,19-06-2024,CUST2217,First Aid Kit,8,102.73,41.09
SO20115,3,05-06-2024,CUST1885,Fertilizer,3,77.63,11.64
SO20116,1,03-07-2024,CUST1038,Yoga Mat,6,127.99,38.4
SO20117,1,11-03-2025,CUST1202,Yoga Mat,2,127.99,12.8
SO20118,1,11-09-2024,CUST2270,Wireless Earbuds,1,1043.5,52.18
SO20119,3,24-02-2025,CUST1353,Tennis Racket,1,152.03,7.6
SO20120,3,27-08-2024,CUST1323,Foundation,6,135.88,40.76
SO20121,3,20-10-2024,CUST2823,Moisturizer,7,145.13,50.8
SO20122,1,19-09-2024,CUST1767,Moisturizer,0,145.13,43.54
SO20123,2,06-06-2024,CUST1981,Sunglasses,1,101.72,5.09
SO20124,3,01-05-2025,CUST1550,Biography,1,46.3,2.32
SO20125,3,13-10-2024,CUST2559,Bluetooth Speaker,4,781.62,156.32
,4,20-04-2025,CUST1991,Hand Sanitizer,3,67.13,10.07
SO20127,4,23-06-2024,CUST1274,Sunglasses,2,101.72,10.17
SO20128,1,11-04-2025,CUST2253,First Aid Kit,4,102.73,20.55
SO20129,2,04-01-2025,CUST1543,Biography,5,46.3,11.58
SO20130,4,05-01-2025,CUST1996,Vacuum Cleaner,7,111.58,39.05
SO20131,2,10-06-2024,CUST2028,Bluetooth Speaker,9,781.62,351.73
SO20132,1,15-09-2024,CUST2943,Pruning Shears,6,307.9,92.37
SO20133,3,26-07-2024,CUST2431,Garden Hose,8,137.73,55.09
,4,27-12-2024,CUST1466,Children's Book,5,6.62,1.66
SO20135,1,10-11-2024,CUST2712,Blood Pressure Monitor,5,172.01,43
SO20136,3,14-08-2024,CUST2713,Perfume,9,48.96,22.03
SO20137,3,20-09-2024,CUST2036,Tennis Racket,9,152.03,68.41
SO20138,1,13-08-2024,CUST1586,Doll,4,31.13,6.23
SO20139,3,21-06-2024,CUST2247,Coffee Maker,6,493.13,147.94
SO20140,3,07-09-2024,CUST2288,Thermometer,5,245.46,61.36
SO20141,4,01-05-2025,CUST2308,Tennis Racket,2,152.03,15.2
SO20142,2,26-11-2024,CUST2478,Science Textbook,1,16.92,0.85
SO20143,4,18-10-2024,CUST2492,Vitamin Supplements,4,247.52,49.5
,2,29-07-2024,CUST1272,Football,8,54.37,21.75
SO20145,3,17-03-2025,CUST1074,Jacket,6,178.65,53.6
SO20146,4,17-12-2024,CUST2333,Building Blocks,5,58.63,14.66
SO20147,1,22-04-2025,CUST1346,First Aid Kit,5,102.73,25.68
SO20148,4,27-06-2024,CUST1285,First Aid Kit,5,102.73,25.68
SO20149,3,23-09-2024,CUST1924,Sunglasses,5,101.72,25.43
SO20150,2,18-12-2024,CUST2679,Lipstick,5,132.35,33.09
SO20151,2,06-08-2024,CUST1690,Garden Hose,7,137.73,48.21
,2,22-11-2024,CUST1760,Moisturizer,8,145.13,58.05
SO20153,2,11-06-2024,CUST2732,Perfume,2,48.96,4.9
SO20154,4,01-09-2024,CUST2417,First Aid Kit,3,102.73,15.41
SO20155,1,11-01-2025,CUST2576,Tennis Racket,8,152.03,60.81
SO20156,3,15-05-2025,CUST2568,Sunglasses,6,101.72,30.52
SO20157,1,05-02-2025,CUST2542,Biography,9,46.3,20.84
SO20158,3,12-10-2024,CUST1676,Coffee Maker,9,493.13,221.91
SO20159,2,21-06-2024,CUST1835,Running Shoes,7,37.97,13.29
SO20160,3,18-12-2024,CUST2371,Perfume,5,48.96,12.24
SO20161,2,13-07-2024,CUST1114,Vacuum Cleaner,1,111.58,5.58
SO20162,3,05-12-2024,CUST1348,Action Figure,5,60.65,15.16
,2,07-09-2024,CUST2727,Thermometer,8,245.46,98.18
SO20164,1,03-04-2025,CUST2088,Vitamin Supplements,3,247.52,37.13
SO20165,2,02-06-2024,CUST1053,Jacket,4,178.65,35.73
SO20166,2,26-02-2025,CUST2318,Smartwatch,2,1166.83,116.68
SO20167,1,14-09-2024,CUST2969,Pruning Shears,4,307.9,61.58
SO20168,4,19-10-2024,CUST1552,Dash Cam,9,330.24,148.61
SO20169,3,29-04-2025,CUST1324,Basketball,3,252.86,37.93
SO20170,1,10-02-2025,CUST1012,Yoga Mat,9,127.99,57.6
SO20171,2,21-10-2024,CUST2310,T-Shirt,2,74.96,7.5
SO20172,3,20-01-2025,CUST2818,Hand Sanitizer,7,67.13,23.5
SO20173,4,21-09-2024,CUST1568,Children's Book,5,6.62,1.66
SO20174,4,26-01-2025,CUST2635,Children's Book,2,6.62,0.66
SO20175,4,22-12-2024,CUST2354,Dash Cam,4,330.24,66.05
SO20176,1,11-05-2025,CUST1789,Pruning Shears,2,307.9,30.79
SO20177,1,21-11-2024,CUST2450,Football,7,54.37,19.03
,3,07-04-2025,CUST2141,Science Textbook,3,16.92,2.54
SO20179,4,16-02-2025,CUST1880,Air Purifier,2,471.37,47.14
SO20180,1,24-11-2024,CUST2021,Jeans,5,102.22,25.56
SO20181,4,17-07-2024,CUST2588,Thermometer,7,245.46,85.91
SO20182,2,21-07-2024,CUST2696,Puzzle,8,53.84,21.54
SO20183,3,01-09-2024,CUST1018,Vacuum Cleaner,2,111.58,11.16
SO20184,1,01-01-2025,CUST1118,Mystery Novel,1,54.28,2.71
SO20185,1,07-11-2024,CUST2116,Air Purifier,6,471.37,141.41
SO20186,3,05-10-2024,CUST2265,Sunglasses,9,101.72,45.77
SO20187,3,17-08-2024,CUST2489,Air Purifier,3,471.37,70.71
SO20188,1,09-07-2024,CUST2355,Action Figure,7,60.65,21.23
SO20189,1,03-09-2024,CUST2855,Tennis Racket,9,152.03,68.41
SO20190,3,23-02-2025,CUST1265,Action Figure,8,60.65,24.26
